from,to,buyer,seller,tokenId,amount,timestamp
94,104,6853a596d6d7264d3622546da3b891b6fe17eb82,77350e1152efd5f2d807a6124015c629a907155e,572,0.095,2018-08-04T13:07:37Z
42,81,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,5cbb31e39ca93ca13d8e9f686bf749b14076bc65,190,0.2,2018-08-04T18:11:37Z
43,98,337101def3eeb6f06e071efe02216274507937bb,7056a5da7d269b31eb2e54e5579e41ef283d7d2c,178,0.01,2018-08-06T20:36:43Z
209,126,f0658281cd1eab7fdfd57760379fc0b35e499486,8e23b400c603e1fd0990b69d7734531f6a0db334,182,0.1,2018-08-08T00:53:51Z
42,27,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,21316e6a4f0af45e5f1503984e83b10c53b177d8,138,0.125,2018-08-08T19:49:30Z
146,104,a636e1a462f612e14adc20cb405d1727a6efca6a,77350e1152efd5f2d807a6124015c629a907155e,597,0.05,2018-08-12T20:02:49Z
42,20,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,198574b36647b05d925c152471d05aa0d5d3e1c0,504,0.11,2018-08-13T09:27:40Z
94,20,6853a596d6d7264d3622546da3b891b6fe17eb82,198574b36647b05d925c152471d05aa0d5d3e1c0,528,0.11,2018-08-13T09:54:33Z
94,20,6853a596d6d7264d3622546da3b891b6fe17eb82,198574b36647b05d925c152471d05aa0d5d3e1c0,529,0.12,2018-08-13T09:55:11Z
165,72,b8903d33924b10b9cda7fd9505e395f1ae0b8532,55372173689c288552885d897d32f5f706f79aa6,119,0.5,2018-08-14T16:14:37Z
104,219,77350e1152efd5f2d807a6124015c629a907155e,fce9262f62f564edb7f2aed998ab3a551b5fb0ab,595,0.08,2018-08-15T15:15:37Z
111,189,7ea92dbce5387f8ff480fe5d557abd4c7b09054f,da5e56e6a41230ed87f39b7c65ede7a8373de403,602,0.1,2018-08-16T16:15:13Z
94,27,6853a596d6d7264d3622546da3b891b6fe17eb82,21316e6a4f0af45e5f1503984e83b10c53b177d8,582,0.6765,2018-08-18T01:42:29Z
94,104,6853a596d6d7264d3622546da3b891b6fe17eb82,77350e1152efd5f2d807a6124015c629a907155e,604,0.175,2018-08-19T18:09:43Z
172,163,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,130,0.382,2018-08-20T13:55:45Z
94,163,6853a596d6d7264d3622546da3b891b6fe17eb82,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,131,0.382,2018-08-20T19:25:32Z
109,163,7dec37c03ea5ca2c47ad2509be6abaf8c63cdb39,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,132,0.382,2018-08-22T10:04:01Z
94,104,6853a596d6d7264d3622546da3b891b6fe17eb82,77350e1152efd5f2d807a6124015c629a907155e,605,0.165,2018-08-22T11:51:53Z
94,163,6853a596d6d7264d3622546da3b891b6fe17eb82,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,609,0.5,2018-08-22T16:27:27Z
106,163,79f7c440b359dece7f2a74813a94c36e3aba740e,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,612,0.5,2018-08-22T22:37:35Z
104,102,77350e1152efd5f2d807a6124015c629a907155e,75d41cdb138c4125f89bef198fd3d865c5e42808,586,0.025,2018-08-24T14:32:35Z
175,163,c1ccf7456fd640473c383468df2c18a2e3d68ea5,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,611,0.5,2018-08-25T04:17:36Z
